Plane	Strip	Shift	Resolution
7	40	271.232	0.169537
7	41	271.068	0.179055
7	42	271.157	0.179548
7	43	271.075	0.176618
7	44	271.313	0.168525
7	45	271.153	0.184734
7	46	271.219	0.177075
7	47	271.359	0.165625
8	0	270.885	0.167483
8	1	270.805	0.175265
8	2	270.83	0.180918
8	3	270.714	0.180937
8	4	270.69	0.182619
8	5	270.783	0.18646
8	6	270.788	0.179144
8	7	270.722	0.179953
8	8	270.768	0.189699
8	9	270.545	0.169217
8	10	270.626	0.177732
8	11	270.615	0.180364
8	12	270.649	0.178754
8	13	270.632	0.18408
8	14	270.859	0.196478
8	15	270.727	0.191317
8	16	270.941	0.189211
8	17	270.852	0.198168
8	18	270.845	0.209117
8	19	268.985	0.487033
8	20	270.963	0.177159
8	21	270.638	0.181128
8	22	270.967	0.194547
8	23	271.02	0.192781
8	24	271.111	0.178337
8	25	271.08	0.179334
8	26	270.86	0.180139
8	27	270.817	0.170206
8	28	270.884	0.18481
8	29	270.787	0.175765
8	30	271.019	0.192063
8	31	270.902	0.177757
8	32	270.896	0.192725
8	33	-1	-1
8	34	270.704	0.183585
8	35	270.707	0.183737
8	36	270.601	0.184677
8	37	270.646	0.178387
8	38	270.657	0.185238
8	39	270.765	0.176943
8	40	-1	-1
8	41	-1	-1
8	42	-1	-1
8	43	-1	-1
8	44	-1	-1
8	45	-1	-1
8	46	-1	-1
8	47	-1	-1
9	0	270.448	0.194898
9	1	270.269	0.165601
9	2	270.058	0.175103
9	3	270.085	0.162469
9	4	270.14	0.163671
9	5	270.018	0.186068
9	6	270.322	0.191265
9	7	270.192	0.173439
9	8	270.049	0.173351
9	9	270.085	0.180438
9	10	270.032	0.165462
9	11	269.786	0.17176
9	12	269.989	0.1757
9	13	269.889	0.172544
9	14	270.048	0.189748
9	15	269.999	0.177843
9	16	270.124	0.180819
9	17	270.08	0.183501
9	18	270.096	0.188155
9	19	270.094	0.178661
9	20	270.186	0.185374
9	21	270.048	0.199401
9	22	270.223	0.191385
9	23	270.198	0.180566
9	24	270.858	0.190605
9	25	270.69	0.187177
9	26	270.526	0.191359
9	27	270.554	0.178041
9	28	270.622	0.197777
9	29	270.481	0.180557
9	30	270.678	0.182076
9	31	270.672	0.191742
9	32	270.619	0.184352
9	33	270.47	0.184087
9	34	270.45	0.18073
9	35	270.298	0.180817
9	36	-1	-1
9	37	270.257	0.181074
9	38	270.41	0.174101
9	39	270.487	0.182831
9	40	270.541	0.174103
9	41	270.511	0.187505
9	42	270.625	0.169545
9	43	270.543	0.164945
9	44	270.571	0.181782
9	45	270.497	0.188763
9	46	270.618	0.186284
9	47	270.617	0.165294
10	0	275.171	0.2037
10	1	275.149	0.191668
10	2	274.918	0.179295
10	3	274.954	0.19104
10	4	274.997	0.193847
10	5	274.873	0.188521
10	6	275.038	0.186277
10	7	275.033	0.178864
10	8	275.152	0.182419
10	9	275.005	0.172314
10	10	274.957	0.180869
10	11	274.899	0.196207
10	12	274.854	0.174196
10	13	274.968	0.164196
10	14	274.96	0.200349
10	15	274.958	0.18629
10	16	275.191	0.187195
10	17	275.143	0.174415
10	18	275.074	0.185672
10	19	275.1	0.184642
10	20	275.281	0.188861
10	21	-1	-1
10	22	275.217	0.193016
10	23	275.223	0.185234
10	24	276.733	0.0179798
10	25	275.306	0.180862
10	26	275.168	0.171834
10	27	275.042	0.203502
10	28	275.093	0.197486
10	29	275.196	0.197949
10	30	275.082	0.19507
10	31	275.135	0.19847
10	32	275.226	0.192284
10	33	274.968	0.189277
10	34	274.913	0.196422
10	35	275.026	0.194037
10	36	274.983	0.177573
10	37	274.851	0.186018
10	38	274.993	0.187026
10	39	275.103	0.191377
10	40	275.046	0.17296
10	41	276.29	0.0790315
10	42	275.251	0.188736
10	43	274.995	0.175351
10	44	275.062	0.17491
10	45	275.262	0.183973
10	46	275.169	0.183284
10	47	275.34	0.2129
11	0	276.041	0.216477
11	1	275.988	0.194927
11	2	275.77	0.195118
11	3	275.631	0.182299
11	4	275.771	0.193274
11	5	275.726	0.182149
11	6	275.765	0.195834
11	7	275.633	0.181281
11	8	275.617	0.190854
11	9	275.619	0.193671
11	10	275.53	0.189554
11	11	275.538	0.168484
11	12	275.564	0.16196
11	13	275.423	0.188023
11	14	275.558	0.197854
11	15	275.536	0.179177
11	16	275.581	0.187595
11	17	275.581	0.19954
11	18	275.737	0.176284
11	19	275.502	0.171821
11	20	275.733	0.188836
11	21	275.706	0.198079
11	22	275.667	0.188531
11	23	275.857	0.185991
11	24	275.542	0.182456
11	25	275.513	0.183282
11	26	275.304	0.18122
11	27	275.341	0.197406
11	28	275.297	0.185158
11	29	275.211	0.188889
11	30	275.463	0.173652
11	31	275.456	0.182759
11	32	275.558	0.176849
11	33	275.396	0.173373
