Plane	Strip	Shift
12	36	-4.5125
12	37	-4.7125
12	38	-4.7125
12	39	-4.8375
12	40	-4.2875
12	41	-4.7625
12	42	-4.4125
12	43	-4.6125
12	44	-4.4375
12	45	-4.4375
12	46	-4.7625
12	47	-4.5875
13	0	-13.3875
13	1	-13.3625
13	2	-13.6125
13	3	-13.5875
13	4	-13.4875
13	5	-13.6625
13	6	-13.2625
13	7	-13.5375
13	8	-13.2625
13	9	-13.2625
13	10	-13.3125
13	11	-13.4875
13	12	-13.4875
13	13	-13.3375
13	14	-13.3375
13	15	-13.5375
13	16	-13.2625
13	17	-13.4875
13	18	-13.3875
13	19	-13.3625
13	20	-13.1125
13	21	-13.4375
13	22	-13.5125
13	23	-13.4125
13	24	-13.0375
13	25	-12.9625
13	26	-13.1375
13	27	-13.1125
13	28	-12.8875
13	29	-13.2375
13	30	-12.8125
13	31	-12.9375
13	32	-13.0125
13	33	-13.0125
13	34	-13.0125
13	35	-13.1875
13	36	-13.1875
13	37	-13.3125
13	38	-13.2875
13	39	-13.3625
13	40	-13.0375
13	41	-13.2875
13	42	-13.0875
13	43	-13.1125
13	44	-12.9625
13	45	-13.2125
13	46	-13.3625
13	47	-13.2125
14	0	-13.2875
14	1	-13.0625
14	2	-13.1875
14	3	-13.3375
14	4	-13.1875
14	5	-13.2625
14	6	-12.9875
14	7	-13.1875
14	8	-12.9875
14	9	-13.1625
14	10	-13.1875
14	11	-13.1375
14	12	-13.1625
14	13	-13.2625
14	14	-13.2625
14	15	-13.2625
14	16	-13.0875
14	17	-13.3125
14	18	-13.0125
14	19	-13.3125
14	20	-13.0125
14	21	-13.0875
14	22	-13.3625
14	23	-13.1875
14	24	-13.2375
14	25	-13.0375
14	26	-13.1625
14	27	-13.3875
14	28	-13.1125
14	29	-13.2375
14	30	-13.0625
14	31	-13.2625
14	32	-12.8875
14	33	-13.0125
14	34	-13.0625
14	35	-12.9875
14	36	-12.9875
14	37	-12.9375
14	38	-12.9875
14	39	-13.3125
